metodo;tempo;tamanho_array
backtracking;4.744529724121094e-05;5
backtracking;0.00015234947204589844;7
backtracking;0.0005829334259033203;9
backtracking;0.0020751953125;11
backtracking;0.008879423141479492;13
backtracking;0.0275571346282959;15
backtracking;0.07507991790771484;17
backtracking;0.30996131896972656;19
backtracking;1.4063715934753418;21
backtracking;4.484029769897461;23
backtracking;18.368510246276855;25
dinamico;0.00016188621520996094;5
dinamico;0.00024366378784179688;7
dinamico;0.00017547607421875;9
dinamico;0.00027370452880859375;11
dinamico;0.0002377033233642578;13
dinamico;0.00033855438232421875;15
dinamico;0.00017452239990234375;17
dinamico;0.0001468658447265625;19
dinamico;0.00017714500427246094;21
dinamico;0.00021314620971679688;23
dinamico;0.00018787384033203125;25
recursivo;3.743171691894531e-05;5
recursivo;3.647804260253906e-05;7
recursivo;3.719329833984375e-05;9
recursivo;6.890296936035156e-05;11
recursivo;4.0531158447265625e-05;13
recursivo;4.2438507080078125e-05;15
recursivo;2.765655517578125e-05;17
recursivo;2.2172927856445312e-05;19
recursivo;2.6941299438476562e-05;21
recursivo;4.363059997558594e-05;23
recursivo;2.5033950805664062e-05;25
